,mean,median,std,min,max,range,volume,atlas,region_id,atlas_priority
AAL_AAL_Region_2502,0.22847501214619428,0.24290069937705994,0.08399547235014865,0.038791168481111526,0.4199012219905853,0.3811100535094738,2312,aal,2502,1
DESIKAN_Superior Frontal Gyrus,0.220400509160694,0.20854220539331436,0.11939348474953333,0.0,0.443276047706604,0.443276047706604,40640,desikan,3,4
AAL_AAL_Region_7001,0.2074949378966985,0.23880556225776672,0.11171595848066038,0.010167202912271023,0.4118591248989105,0.4016919219866395,7696,aal,7001,1
ASHS_ASHS_Region_16,0.3065524342060089,0.312694787979126,0.07272916024792965,0.03884579986333847,0.43021920323371887,0.3913734033703804,19000,ashs,16,3
DESIKAN_Precentral Gyrus,0.2674278930894975,0.31205910444259644,0.12171238002329557,0.0,0.43882811069488525,0.43882811069488525,68584,desikan,7,4
"DESIKAN_Superior Temporal Gyrus, posterior division",0.32383114124643186,0.35044707357883453,0.0854511289072742,0.050439342856407166,0.4463536739349365,0.39591433107852936,14640,desikan,10,4
ASHS_ASHS_Region_71,0.27577748231185545,0.28771354258060455,0.11368365868967514,0.0,0.5559566617012024,0.5559566617012024,10616,ashs,71,3
AAL_AAL_Region_9082,0.03317163940870537,0.0,0.10021351840209582,0.0,0.3990791141986847,0.3990791141986847,1272,aal,9082,1
ASHS_ERC,0.29324997502518635,0.3031942844390869,0.06843842612133492,0.061760712414979935,0.41120240092277527,0.34944168850779533,8224,ashs,6,5
AAL_AAL_Region_7101,0.2864919301198626,0.32911379635334015,0.08977158783768734,0.032012052834033966,0.41208416223526,0.38007210940122604,8800,aal,7101,1
AAL_AAL_Region_9002,0.1937204020399793,0.22437826544046402,0.12128850425505953,0.0,0.6198437809944153,0.6198437809944153,21184,aal,9002,1
ASHS_ASHS_Region_83,0.2772045298459163,0.3054661601781845,0.11590868586856048,0.0,0.4558723568916321,0.4558723568916321,16488,ashs,83,3
ASHS_ASHS_Region_17,0.2714411197864244,0.302478089928627,0.10590335289569111,0.045865729451179504,0.4256134629249573,0.37974773347377777,6992,ashs,17,3
ASHS_ASHS_Region_60,0.319580927617524,0.3389069437980652,0.07107899012447577,0.08481240272521973,0.41282564401626587,0.32801324129104614,4600,ashs,60,3
DESIKAN_Temporal Pole,0.17977996879668262,0.1667429581284523,0.11588153548658521,0.0,0.4157601296901703,0.4157601296901703,37688,desikan,8,4
AAL_AAL_Region_9061,0.43363066347933826,0.4704578220844269,0.19350009887083444,0.0,0.6951024532318115,0.6951024532318115,15096,aal,9061,1
AAL_AAL_Region_9041,0.26277248172717305,0.2775709927082062,0.06569390672512164,0.0,0.41730740666389465,0.41730740666389465,13552,aal,9041,1
"DESIKAN_Superior Temporal Gyrus, anterior division",0.31514748316007934,0.3452386260032654,0.0888592784604264,0.03759455308318138,0.42269641160964966,0.3851018585264683,4168,desikan,9,4
DESIKAN_Central Opercular Cortex,0.32516000323019295,0.34417489171028137,0.07130345423501326,0.06012558937072754,0.4325096309185028,0.37238404154777527,15088,desikan,42,3
"DESIKAN_Cingulate Gyrus, anterior division",0.22593461037908083,0.23830609023571014,0.0837228751303404,0.0470292754471302,0.41758278012275696,0.37055350467562675,20736,desikan,29,4
ASHS_ASHS_Region_72,0.26831651705726506,0.2947876751422882,0.10698435424228885,0.024071872234344482,0.43206357955932617,0.4079917073249817,12560,ashs,72,3
"DESIKAN_Temporal Fusiform Cortex, anterior division",0.14742164545097067,0.1429613083600998,0.1175313269337474,0.0,0.365680456161499,0.365680456161499,4880,desikan,37,4
AAL_AAL_Region_9011,0.4037972597150602,0.437438040971756,0.20495180246685463,0.0,0.6758089661598206,0.6758089661598206,15152,aal,9011,1
AAL_AAL_Region_2211,0.31765433819545014,0.3239259570837021,0.08545354632020583,0.0,0.45638376474380493,0.45638376474380493,7104,aal,2211,1
ASHS_ASHS_Region_95,0.2868178750534205,0.31294097006320953,0.0989617363772401,0.0,0.44188445806503296,0.44188445806503296,8376,ashs,95,3
ASHS_ASHS_Region_69,0.24710297118287353,0.2658308446407318,0.11132813473595192,0.0,0.44705912470817566,0.44705912470817566,9392,ashs,69,3
AAL_AAL_Region_9042,0.24022862454655797,0.27043516933918,0.09617737488408007,0.0,0.535582959651947,0.535582959651947,14360,aal,9042,1
ASHS_ASHS_Region_82,0.21707258620290645,0.21951904892921448,0.12127243852082166,0.0,0.44548237323760986,0.44548237323760986,8512,ashs,82,3
ASHS_ASHS_Region_98,0.2423669567855307,0.26208579540252686,0.10993485670587874,0.04153339937329292,0.4252021610736847,0.38366876170039177,9960,ashs,98,3
DESIKAN_Subcallosal Cortex,0.20221509160791995,0.20254401862621307,0.09660463996996112,0.0,0.41641947627067566,0.41641947627067566,9136,desikan,27,4
"DESIKAN_Parahippocampal Gyrus, posterior division",0.2683903160872279,0.2810267210006714,0.08646392196453814,0.049693088978528976,0.4141289293766022,0.3644358403980732,5680,desikan,35,3
ASHS_ASHS_Region_8,0.3341623126559039,0.3441900461912155,0.07749739650511646,0.04912031069397926,0.5491906404495239,0.5000703297555447,14960,ashs,8,3
AAL_AAL_Region_9062,0.24280141428515695,0.2648361325263977,0.15979861320887306,0.0,0.6661800146102905,0.6661800146102905,18464,aal,9062,1
ASHS_ASHS_Region_41,0.2562555681308787,0.27582964301109314,0.10794081670939384,0.04345007613301277,0.43479594588279724,0.39134586974978447,20088,ashs,41,3
"DESIKAN_Middle Temporal Gyrus, temporooccipital part",0.2922940147371903,0.3035964071750641,0.07936918105839913,0.05007132515311241,0.4369398355484009,0.38686851039528847,16032,desikan,13,4
AAL_AAL_Region_4012,0.27728036865236894,0.29290392994880676,0.08744089731640503,0.05142461508512497,0.4173176884651184,0.36589307337999344,17624,aal,4012,1
ASHS_ASHS_Region_66,0.2256759652021362,0.22689243406057358,0.13205117932017263,0.0,0.43631190061569214,0.43631190061569214,16040,ashs,66,3
"DESIKAN_Middle Temporal Gyrus, anterior division",0.26681964861213686,0.29304279386997223,0.10688884316844306,0.0368318110704422,0.4363889694213867,0.3995571583509445,6784,desikan,11,4
DESIKAN_Postcentral Gyrus,0.26971746523056833,0.3068724721670151,0.11819816121279748,0.0,0.5916339755058289,0.5916339755058289,55160,desikan,17,4
ASHS_ASHS_Region_94,0.21853812103598794,0.2416822463274002,0.09926576585506804,0.0,0.4146827459335327,0.4146827459335327,6584,ashs,94,3
AAL_AAL_Region_4101,0.261155178591553,0.2673635184764862,0.09706438875242596,0.02554958499968052,0.4355735182762146,0.4100239332765341,7456,aal,4101,1
AAL_AAL_Region_4011,0.22744868677718846,0.2290293499827385,0.10120163127168944,0.03642207384109497,0.4179299771785736,0.38150790333747864,15528,aal,4011,1
DESIKAN_Precuneous Cortex,0.2805484026296469,0.2908101826906204,0.10247879606141062,0.04250328987836838,0.6260442733764648,0.5835409834980965,44984,desikan,31,4
ASHS_ASHS_Region_42,0.20044565179180984,0.21135617792606354,0.09274445950143739,0.012911775149405003,0.3720356822013855,0.3591239070519805,5672,ashs,42,3
"DESIKAN_Inferior Temporal Gyrus, anterior division",0.26237282789797395,0.30165234208106995,0.11805552082153271,0.0,0.4272860586643219,0.4272860586643219,5176,desikan,14,4
ASHS_ASHS_Region_11,0.3394826999795184,0.36348091065883636,0.05467671450983254,0.09367141872644424,0.40231820940971375,0.3086467906832695,4240,ashs,11,3
ASHS_ASHS_Region_76,0.2477508553543017,0.2638279050588608,0.09929591396491973,0.0,0.4213378131389618,0.4213378131389618,13080,ashs,76,3
DESIKAN_Frontal Opercular Cortex,0.30353227705122654,0.3193831741809845,0.07413370628823497,0.02841884084045887,0.40699315071105957,0.3785743098706007,5496,desikan,41,3
"DESIKAN_Inferior Temporal Gyrus, posterior division",0.3181707717705591,0.33471573889255524,0.08732423734155738,0.0,0.4406924843788147,0.4406924843788147,15536,desikan,15,4
"DESIKAN_Lateral Occipital Cortex, superior division",0.2956074870467749,0.31664174795150757,0.11859278257650219,0.0,0.6771870851516724,0.6771870851516724,78232,desikan,22,4
AAL_AAL_Region_9150,0.528638678982302,0.6012994050979614,0.12866781242766065,0.21268068253993988,0.6616983413696289,0.449017658829689,1944,aal,9150,1
DESIKAN_Planum Temporale,0.2672077995361056,0.28378506004810333,0.08158730463938854,0.050042204558849335,0.4310469925403595,0.38100478798151016,7616,desikan,46,4
ASHS_ASHS_Region_46,0.2103103096899729,0.18210411816835403,0.10986769107181855,0.029156053438782692,0.4498749375343323,0.4207188840955496,20728,ashs,46,3
DESIKAN_Middle Frontal Gyrus,0.27189825982012367,0.3067106008529663,0.11250926963727256,0.0,0.45224905014038086,0.45224905014038086,42528,desikan,4,4
AAL_AAL_Region_4201,0.2614999689182944,0.290177121758461,0.08550106510174506,0.04655368626117706,0.39408406615257263,0.34753037989139557,1760,aal,4201,1
DESIKAN_Paracingulate Gyrus,0.24282600370141785,0.2559959888458252,0.08856895240472273,0.029502874240279198,0.4152674674987793,0.3857645932585001,23552,desikan,28,4
